NetworkID,InputInference,Method,AUROC,AUPR
1,pearson,Base,0.92309,0.18337
1,pearson,SPSID,0.94293,0.18375
1,pearson,RENDOR,0.88930,0.02736
1,pearson,ND,0.92324,0.17753
1,pearson,NE,0.89552,0.17336
1,pearson,Silencer,0.55384,0.00296
1,pearson,ICM,0.34960,0.00437
1,spearman,Base,0.92105,0.18694
1,spearman,SPSID,0.94084,0.18735
1,spearman,RENDOR,0.90112,0.04327
1,spearman,ND,0.92164,0.18500
1,spearman,NE,0.89504,0.13990
1,spearman,Silencer,0.55037,0.00293
1,spearman,ICM,0.35902,0.00435
1,grnboost,Base,0.88340,0.28751
1,grnboost,SPSID,0.96534,0.29120
1,grnboost,RENDOR,0.94871,0.08793
1,grnboost,ND,0.88402,0.28967
1,grnboost,NE,0.95927,0.28526
1,grnboost,Silencer,0.49834,0.00268
1,grnboost,ICM,0.37880,0.00468
1,genie3,Base,0.96644,0.29394
1,genie3,SPSID,0.96796,0.29395
1,genie3,RENDOR,0.97260,0.32360
1,genie3,ND,0.96790,0.29485
1,genie3,NE,0.95393,0.24951
1,genie3,Silencer,0.47890,0.00258
1,genie3,ICM,0.35713,0.00423
2,pearson,Base,0.86491,0.09397
2,pearson,SPSID,0.94425,0.09824
2,pearson,RENDOR,0.89939,0.05533
2,pearson,ND,0.86522,0.08508
2,pearson,NE,0.79531,0.07169
2,pearson,Silencer,0.55423,0.00469
2,pearson,ICM,0.41299,0.01206
2,spearman,Base,0.86180,0.08930
2,spearman,SPSID,0.94124,0.09364
2,spearman,RENDOR,0.93601,0.03546
2,spearman,ND,0.86174,0.08769
2,spearman,NE,0.78015,0.06369
2,spearman,Silencer,0.54031,0.00456
2,spearman,ICM,0.46784,0.01338
2,grnboost,Base,0.83217,0.06732
2,grnboost,SPSID,0.94772,0.07522
2,grnboost,RENDOR,0.80311,0.03726
2,grnboost,ND,0.83239,0.06654
2,grnboost,NE,0.80249,0.05656
2,grnboost,Silencer,0.52636,0.00451
2,grnboost,ICM,0.49466,0.01478
2,genie3,Base,0.87888,0.10216
2,genie3,SPSID,0.95185,0.10686
2,genie3,RENDOR,0.93181,0.09367
2,genie3,ND,0.87924,0.10243
2,genie3,NE,0.80721,0.09035
2,genie3,Silencer,0.46220,0.00399
2,genie3,ICM,0.48560,0.01753
3,pearson,Base,0.88680,0.06163
3,pearson,SPSID,0.90672,0.06195
3,pearson,RENDOR,0.87100,0.01883
3,pearson,ND,0.88705,0.05532
3,pearson,NE,0.85175,0.04093
3,pearson,Silencer,0.52774,0.00307
3,pearson,ICM,0.44032,0.00579
3,spearman,Base,0.88443,0.06004
3,spearman,SPSID,0.90439,0.06042
3,spearman,RENDOR,0.87082,0.01716
3,spearman,ND,0.88462,0.05575
3,spearman,NE,0.84621,0.03058
3,spearman,Silencer,0.51807,0.00300
3,spearman,ICM,0.46882,0.00648
3,grnboost,Base,0.74992,0.07679
3,grnboost,SPSID,0.93025,0.08393
3,grnboost,RENDOR,0.91716,0.02395
3,grnboost,ND,0.74996,0.07675
3,grnboost,NE,0.90347,0.07702
3,grnboost,Silencer,0.48829,0.00290
3,grnboost,ICM,0.47876,0.00618
3,genie3,Base,0.93404,0.10328
3,genie3,SPSID,0.93404,0.10310
3,genie3,RENDOR,0.92707,0.08448
3,genie3,ND,0.93512,0.10222
3,genie3,NE,0.91839,0.09966
3,genie3,Silencer,0.49001,0.00291
3,genie3,ICM,0.44037,0.00563
4,pearson,Base,0.89980,0.01824
4,pearson,SPSID,0.93800,0.01902
4,pearson,RENDOR,0.92325,0.01516
4,pearson,ND,0.89966,0.01796
4,pearson,NE,0.85460,0.01809
4,pearson,Silencer,0.51368,0.00179
4,pearson,ICM,0.49365,0.00748
4,spearman,Base,0.89846,0.01640
4,spearman,SPSID,0.93643,0.01717
4,spearman,RENDOR,0.92091,0.01463
4,spearman,ND,0.89831,0.01600
4,spearman,NE,0.85326,0.01698
4,spearman,Silencer,0.51413,0.00179
4,spearman,ICM,0.49941,0.00774
4,grnboost,Base,0.67703,0.01129
4,grnboost,SPSID,0.95145,0.02157
4,grnboost,RENDOR,0.92086,0.01725
4,grnboost,ND,0.67703,0.01125
4,grnboost,NE,0.91609,0.01796
4,grnboost,Silencer,0.45647,0.00168
4,grnboost,ICM,0.59169,0.01085
4,genie3,Base,0.93744,0.02217
4,genie3,SPSID,0.95141,0.02261
4,genie3,RENDOR,0.94443,0.01949
4,genie3,ND,0.93733,0.02204
4,genie3,NE,0.91992,0.02044
4,genie3,Silencer,0.51093,0.00185
4,genie3,ICM,0.53238,0.00977
