NetworkID,InputInference,Method,Metric,RankScore
1,genie3,SPSID,AUROC,0.8
1,genie3,RENDOR,AUROC,1.0
1,genie3,ND,AUROC,0.6
1,genie3,NE,AUROC,0.4
1,genie3,Silencer,AUROC,0.19999999999999996
1,genie3,ICM,AUROC,0.0
1,genie3,SPSID,AUPR,0.6
1,genie3,RENDOR,AUPR,1.0
1,genie3,ND,AUPR,0.8
1,genie3,NE,AUPR,0.4
1,genie3,Silencer,AUPR,0.0
1,genie3,ICM,AUPR,0.19999999999999996
1,grnboost,SPSID,AUROC,1.0
1,grnboost,RENDOR,AUROC,0.6
1,grnboost,ND,AUROC,0.4
1,grnboost,NE,AUROC,0.8
1,grnboost,Silencer,AUROC,0.19999999999999996
1,grnboost,ICM,AUROC,0.0
1,grnboost,SPSID,AUPR,1.0
1,grnboost,RENDOR,AUPR,0.4
1,grnboost,ND,AUPR,0.8
1,grnboost,NE,AUPR,0.6
1,grnboost,Silencer,AUPR,0.0
1,grnboost,ICM,AUPR,0.19999999999999996
1,pearson,SPSID,AUROC,1.0
1,pearson,RENDOR,AUROC,0.4
1,pearson,ND,AUROC,0.8
1,pearson,NE,AUROC,0.6
1,pearson,Silencer,AUROC,0.19999999999999996
1,pearson,ICM,AUROC,0.0
1,pearson,SPSID,AUPR,1.0
1,pearson,RENDOR,AUPR,0.4
1,pearson,ND,AUPR,0.8
1,pearson,NE,AUPR,0.6
1,pearson,Silencer,AUPR,0.0
1,pearson,ICM,AUPR,0.19999999999999996
1,spearman,SPSID,AUROC,1.0
1,spearman,RENDOR,AUROC,0.6
1,spearman,ND,AUROC,0.8
1,spearman,NE,AUROC,0.4
1,spearman,Silencer,AUROC,0.19999999999999996
1,spearman,ICM,AUROC,0.0
1,spearman,SPSID,AUPR,1.0
1,spearman,RENDOR,AUPR,0.4
1,spearman,ND,AUPR,0.8
1,spearman,NE,AUPR,0.6
1,spearman,Silencer,AUPR,0.0
1,spearman,ICM,AUPR,0.19999999999999996
2,genie3,SPSID,AUROC,1.0
2,genie3,RENDOR,AUROC,0.8
2,genie3,ND,AUROC,0.6
2,genie3,NE,AUROC,0.4
2,genie3,Silencer,AUROC,0.0
2,genie3,ICM,AUROC,0.19999999999999996
2,genie3,SPSID,AUPR,1.0
2,genie3,RENDOR,AUPR,0.6
2,genie3,ND,AUPR,0.8
2,genie3,NE,AUPR,0.4
2,genie3,Silencer,AUPR,0.0
2,genie3,ICM,AUPR,0.19999999999999996
2,grnboost,SPSID,AUROC,1.0
2,grnboost,RENDOR,AUROC,0.6
2,grnboost,ND,AUROC,0.8
2,grnboost,NE,AUROC,0.4
2,grnboost,Silencer,AUROC,0.19999999999999996
2,grnboost,ICM,AUROC,0.0
2,grnboost,SPSID,AUPR,1.0
2,grnboost,RENDOR,AUPR,0.4
2,grnboost,ND,AUPR,0.8
2,grnboost,NE,AUPR,0.6
2,grnboost,Silencer,AUPR,0.0
2,grnboost,ICM,AUPR,0.19999999999999996
2,pearson,SPSID,AUROC,1.0
2,pearson,RENDOR,AUROC,0.8
2,pearson,ND,AUROC,0.6
2,pearson,NE,AUROC,0.4
2,pearson,Silencer,AUROC,0.19999999999999996
2,pearson,ICM,AUROC,0.0
2,pearson,SPSID,AUPR,1.0
2,pearson,RENDOR,AUPR,0.4
2,pearson,ND,AUPR,0.8
2,pearson,NE,AUPR,0.6
2,pearson,Silencer,AUPR,0.0
2,pearson,ICM,AUPR,0.19999999999999996
2,spearman,SPSID,AUROC,1.0
2,spearman,RENDOR,AUROC,0.8
2,spearman,ND,AUROC,0.6
2,spearman,NE,AUROC,0.4
2,spearman,Silencer,AUROC,0.19999999999999996
2,spearman,ICM,AUROC,0.0
2,spearman,SPSID,AUPR,1.0
2,spearman,RENDOR,AUPR,0.4
2,spearman,ND,AUPR,0.8
2,spearman,NE,AUPR,0.6
2,spearman,Silencer,AUPR,0.0
2,spearman,ICM,AUPR,0.19999999999999996
3,genie3,SPSID,AUROC,0.8
3,genie3,RENDOR,AUROC,0.6
3,genie3,ND,AUROC,1.0
3,genie3,NE,AUROC,0.4
3,genie3,Silencer,AUROC,0.19999999999999996
3,genie3,ICM,AUROC,0.0
3,genie3,SPSID,AUPR,1.0
3,genie3,RENDOR,AUPR,0.4
3,genie3,ND,AUPR,0.8
3,genie3,NE,AUPR,0.6
3,genie3,Silencer,AUPR,0.0
3,genie3,ICM,AUPR,0.19999999999999996
3,grnboost,SPSID,AUROC,1.0
3,grnboost,RENDOR,AUROC,0.8
3,grnboost,ND,AUROC,0.4
3,grnboost,NE,AUROC,0.6
3,grnboost,Silencer,AUROC,0.19999999999999996
3,grnboost,ICM,AUROC,0.0
3,grnboost,SPSID,AUPR,1.0
3,grnboost,RENDOR,AUPR,0.4
3,grnboost,ND,AUPR,0.6
3,grnboost,NE,AUPR,0.8
3,grnboost,Silencer,AUPR,0.0
3,grnboost,ICM,AUPR,0.19999999999999996
3,pearson,SPSID,AUROC,1.0
3,pearson,RENDOR,AUROC,0.6
3,pearson,ND,AUROC,0.8
3,pearson,NE,AUROC,0.4
3,pearson,Silencer,AUROC,0.19999999999999996
3,pearson,ICM,AUROC,0.0
3,pearson,SPSID,AUPR,1.0
3,pearson,RENDOR,AUPR,0.4
3,pearson,ND,AUPR,0.8
3,pearson,NE,AUPR,0.6
3,pearson,Silencer,AUPR,0.0
3,pearson,ICM,AUPR,0.19999999999999996
3,spearman,SPSID,AUROC,1.0
3,spearman,RENDOR,AUROC,0.6
3,spearman,ND,AUROC,0.8
3,spearman,NE,AUROC,0.4
3,spearman,Silencer,AUROC,0.19999999999999996
3,spearman,ICM,AUROC,0.0
3,spearman,SPSID,AUPR,1.0
3,spearman,RENDOR,AUPR,0.4
3,spearman,ND,AUPR,0.8
3,spearman,NE,AUPR,0.6
3,spearman,Silencer,AUPR,0.0
3,spearman,ICM,AUPR,0.19999999999999996
4,genie3,SPSID,AUROC,1.0
4,genie3,RENDOR,AUROC,0.8
4,genie3,ND,AUROC,0.6
4,genie3,NE,AUROC,0.4
4,genie3,Silencer,AUROC,0.0
4,genie3,ICM,AUROC,0.19999999999999996
4,genie3,SPSID,AUPR,1.0
4,genie3,RENDOR,AUPR,0.4
4,genie3,ND,AUPR,0.8
4,genie3,NE,AUPR,0.6
4,genie3,Silencer,AUPR,0.0
4,genie3,ICM,AUPR,0.19999999999999996
4,grnboost,SPSID,AUROC,1.0
4,grnboost,RENDOR,AUROC,0.8
4,grnboost,ND,AUROC,0.4
4,grnboost,NE,AUROC,0.6
4,grnboost,Silencer,AUROC,0.0
4,grnboost,ICM,AUROC,0.19999999999999996
4,grnboost,SPSID,AUPR,1.0
4,grnboost,RENDOR,AUPR,0.6
4,grnboost,ND,AUPR,0.4
4,grnboost,NE,AUPR,0.8
4,grnboost,Silencer,AUPR,0.0
4,grnboost,ICM,AUPR,0.19999999999999996
4,pearson,SPSID,AUROC,1.0
4,pearson,RENDOR,AUROC,0.8
4,pearson,ND,AUROC,0.6
4,pearson,NE,AUROC,0.4
4,pearson,Silencer,AUROC,0.19999999999999996
4,pearson,ICM,AUROC,0.0
4,pearson,SPSID,AUPR,1.0
4,pearson,RENDOR,AUPR,0.4
4,pearson,ND,AUPR,0.6
4,pearson,NE,AUPR,0.8
4,pearson,Silencer,AUPR,0.0
4,pearson,ICM,AUPR,0.19999999999999996
4,spearman,SPSID,AUROC,1.0
4,spearman,RENDOR,AUROC,0.8
4,spearman,ND,AUROC,0.6
4,spearman,NE,AUROC,0.4
4,spearman,Silencer,AUROC,0.19999999999999996
4,spearman,ICM,AUROC,0.0
4,spearman,SPSID,AUPR,1.0
4,spearman,RENDOR,AUPR,0.4
4,spearman,ND,AUPR,0.6
4,spearman,NE,AUPR,0.8
4,spearman,Silencer,AUPR,0.0
4,spearman,ICM,AUPR,0.19999999999999996
