Density,Method,AUROC,AUPR
0.01,ICM,0.45347960232508155,0.009252869880542832
0.01,ND,0.8573246521460685,0.10537490613056402
0.01,NE,0.8300699938196737,0.0892745523441815
0.01,RENDOR,0.8649021086045747,0.09649599085871792
0.01,SPSID,0.9089523784281346,0.17709685909926495
0.01,Silencer,0.526444807969992,0.01177789869772815
0.03,ICM,0.45978804176463717,0.02717209424221344
0.03,ND,0.8345221408736071,0.164325201629274
0.03,NE,0.8095891536266049,0.16775808548377133
0.03,RENDOR,0.8419427791179875,0.16955617522175925
0.03,SPSID,0.8964712401878266,0.2766835824236298
0.03,Silencer,0.5209773191694664,0.033135308039558824
0.05,ICM,0.46667928647980406,0.045564581595060646
0.05,ND,0.8069180507816036,0.18733919995170667
0.05,NE,0.7768616204871578,0.19944665231864578
0.05,RENDOR,0.8162207584991704,0.2025871444872535
0.05,SPSID,0.8782670070183364,0.3045381180293571
0.05,Silencer,0.5167539076391551,0.053846274074495826
0.07,ICM,0.47198306583305843,0.06435441802533154
0.07,ND,0.7778002557823869,0.20099851245270817
0.07,NE,0.7437032033392517,0.21563987606763463
0.07,RENDOR,0.7893837743189908,0.22215599871645986
0.07,SPSID,0.8559565452059769,0.3126927333267149
0.07,Silencer,0.5137511995032883,0.07399024388067006
0.09,ICM,0.4759604278466144,0.08360128571895449
0.09,ND,0.7510680029078998,0.2138046140945022
0.09,NE,0.7167103006040639,0.22995046560677068
0.09,RENDOR,0.7643355583891712,0.23829793560713974
0.09,SPSID,0.8317491548316774,0.31693172230304156
0.09,Silencer,0.5113244580763949,0.09422591120136785
