EdgesRetained,Method,AvgTP
100,SPSID,50.363
200,SPSID,88.228
300,SPSID,120.454
400,SPSID,148.727
500,SPSID,173.714
600,SPSID,196.087
700,SPSID,216.372
800,SPSID,235.048
900,SPSID,252.154
1000,SPSID,267.957
1100,SPSID,282.733
1200,SPSID,296.244
1300,SPSID,308.755
1400,SPSID,320.614
1500,SPSID,331.48
100,RENDOR,35.52
200,RENDOR,62.46
300,RENDOR,85.976
400,RENDOR,107.258
500,RENDOR,126.549
600,RENDOR,144.37
700,RENDOR,160.95
800,RENDOR,176.572
900,RENDOR,191.128
1000,RENDOR,204.943
1100,RENDOR,218.066
1200,RENDOR,230.438
1300,RENDOR,242.192
1400,RENDOR,253.359
1500,RENDOR,263.88
100,ND,32.602
200,ND,58.456
300,ND,80.653
400,ND,101.005
500,ND,119.63
600,ND,136.711
700,ND,152.937
800,ND,167.988
900,ND,182.148
1000,ND,195.581
1100,ND,208.508
1200,ND,220.692
1300,ND,232.149
1400,ND,243.22
1500,ND,253.712
100,NE,36.684
200,NE,63.851
300,NE,87.483
400,NE,108.555
500,NE,127.819
600,NE,145.651
700,NE,162.475
800,NE,178.173
900,NE,193.004
1000,NE,206.923
1100,NE,220.061
1200,NE,232.488
1300,NE,244.245
1400,NE,255.309
1500,NE,265.736
100,Silencer,6.324
200,Silencer,12.359
300,Silencer,18.31
400,Silencer,24.139
500,Silencer,29.951
600,Silencer,35.739
700,Silencer,41.621
800,Silencer,47.268
900,Silencer,52.997
1000,Silencer,58.49
1100,Silencer,64.002
1200,Silencer,69.571
1300,Silencer,75.159
1400,Silencer,80.581
1500,Silencer,86.101
100,ICM,3.222
200,ICM,6.922
300,ICM,10.667
400,ICM,14.601
500,ICM,18.708
600,ICM,22.809
700,ICM,26.813
800,ICM,31.05
900,ICM,35.34
1000,ICM,39.663
1100,ICM,43.972
1200,ICM,48.252
1300,ICM,52.645
1400,ICM,56.974
1500,ICM,61.315
